Precipitation	MFW	N_addition	Block	N_fix_71	N_fix_131	Tot_N_fix	Tot_moss_gain	moss_biomass_gain
I	BS	O	7	0.00	0.00	0.00	2.21	0.212
I	BS	O	8	0.01	0.46	0.04	1.10	0.435
I	BX	O	1	52.67	85.49	18.97	8.35	0.112
I	BX	O	2	0.00	0.00	0.00	7.00	0.019
I	BX	O	3	6.96	6.45	2.21	6.44	0.226
I	BX	O	5	0.07	0.25	0.03	12.80	0.185
I	BX	O	7	6.62	0.00	1.66	-0.58	0.276
I	BX	O	8	0.29	0.27	0.09	-1.13	0.121
I	C	O	1	0.26	0.28	0.08	-5.30	0.070
I	C	O	2	0.26	0.00	0.07	8.40	0.195
I	C	O	3	0.00	0.06	0.00	7.26	0.204
I	C	O	4	0.41	0.03	0.09	10.50	-0.229
I	C	O	5	0.00	0.00	0.00	1.58	-0.442
I	C	O	6	0.00	0.11	0.01	-6.32	-0.087
I	C	O	7	0.00	0.80	0.06	-2.50	-0.029
I	C	O	8	0.00	0.02	0.00	-3.57	0.348
M	B	O	1	65.12	58.17	21.52	5.16	0.471
M	B	O	2	49.24	42.46	15.02	-1.73	0.109
M	B	O	3	1.98	10.51	1.26	6.27	0.192
M	B	O	4	1.19	0.04	0.31	12.75	0.402
M	B	O	5	12.63	1.56	3.05	11.90	-0.085
M	B	O	7	66.32	0.76	16.39	-1.15	0.177
M	B	O	8	5.37	3.98	1.68	18.49	0.374
M	BS	O	2	0.00	0.00	0.00	8.63	0.281
M	BS	O	3	13.37	0.00	3.18	-5.06	0.009
M	BS	O	4	0.34	0.00	0.08	-3.35	-0.078
M	BS	O	5	0.31	0.03	0.08	-2.36	0.170
M	BS	O	6	19.83	23.09	6.92	-2.24	0.434
M	BS	O	7	0.06	0.03	0.02	-0.57	0.365
M	BS	O	8	0.05	0.02	0.02	1.39	0.492
M	BX	O	1	64.40	57.92	20.90	4.97	0.372
M	BX	O	2	85.21	1.94	21.57	7.35	0.280
M	BX	O	3	25.85	3.33	6.67	-3.90	0.218
M	BX	O	4	11.77	0.20	2.76	13.30	-0.082
M	BX	O	5	31.98	8.85	8.39	-0.58	0.101
M	BX	O	6	5.80	0.04	1.47	21.28	0.313
M	BX	O	7	7.26	0.04	1.82	-0.54	0.257
M	BX	O	8	0.87	0.00	0.24	2.56	0.774
M	C	O	1	0.00	2.14	0.15	-5.74	0.021
M	C	O	2	0.00	0.03	0.00	6.11	0.074
M	C	O	3	0.07	0.05	0.02	3.92	-0.122
M	C	O	4	0.00	0.04	0.00	6.72	0.290
M	C	O	5	0.00	0.00	0.00	-4.31	0.270
M	C	O	7	0.00	0.00	0.00	2.76	0.571
M	C	O	8	0.28	0.02	0.06	-7.05	-0.539
F	B	N	1	3.12	0.00	0.81	21.40	0.453
F	B	N	2	0.00	0.02	0.00	32.72	0.182
F	B	N	3	18.67	12.26	5.30	16.61	0.001
F	B	N	4	0.33	0.04	0.09	39.82	0.608
F	B	N	5	0.22	0.00	0.06	17.40	0.245
F	B	N	6	2.92	11.76	1.74	40.26	0.690
F	B	N	7	0.66	0.04	0.18	22.20	0.457
F	B	N	8	7.17	3.26	2.06	36.38	0.317
F	BS	N	1	1.77	0.43	0.47	14.20	0.182
F	BS	N	2	2.40	0.02	0.60	41.34	0.271
F	BS	N	3	2.27	0.42	0.60	16.33	0.264
F	BS	N	4	0.00	0.35	0.03	29.71	0.214
F	BS	N	5	2.21	0.08	0.55	18.56	0.144
F	BS	N	6	1.44	0.04	0.36	35.32	0.272
F	BS	N	7	0.00	0.30	0.02	18.05	0.307
F	BS	N	8	22.04	0.02	5.60	33.10	0.328
F	BX	N	1	0.00	0.02	0.00	22.14	0.686
F	BX	N	2	11.48	10.34	3.86	39.60	0.556
F	BX	N	3	10.84	0.02	2.74	22.52	0.301
F	BX	N	4	4.66	3.05	1.53	38.50	0.726
F	BX	N	5	1.91	5.56	0.94	22.72	0.541
F	BX	N	6	0.00	0.02	0.00	25.03	-0.293
F	BX	N	7	2.40	0.03	0.61	21.58	0.268
F	BX	N	8	0.00	0.03	0.00	37.34	0.680
F	C	N	1	0.00	0.02	0.00	17.07	0.252
F	C	N	2	0.00	0.03	0.00	28.91	0.161
F	C	N	4	0.38	0.02	0.09	24.51	-0.273
F	C	N	5	0.17	0.02	0.04	15.43	0.144
F	C	N	6	0.00	0.03	0.00	43.97	0.461
F	C	N	7	0.08	0.05	0.03	24.89	0.688
F	C	N	8	0.05	0.02	0.02	33.98	0.323
I	B	N	1	0.20	0.02	0.05	8.39	0.092
I	B	N	3	0.09	0.00	0.02	8.65	-0.015
I	B	N	4	0.30	0.03	0.07	25.24	-0.008
I	B	N	5	0.37	0.03	0.09	10.44	0.221
I	B	N	6	3.71	1.06	1.00	41.76	0.239
I	B	N	7	0.05	0.03	0.02	1.86	0.248
I	B	N	8	0.91	0.03	0.24	39.43	0.446
I	BS	N	1	0.22	0.00	0.05	7.67	0.144
I	BS	N	2	0.09	0.00	0.02	51.56	0.323
I	BS	N	3	0.10	0.02	0.03	9.38	0.083
I	BS	N	4	0.00	0.00	0.00	30.01	0.120
I	BS	N	5	0.00	0.00	0.00	5.84	0.015
I	BS	N	6	0.00	0.04	0.00	30.53	0.031
I	BS	N	7	7.05	0.15	1.82	16.21	0.374
I	BS	N	8	0.00	0.03	0.00	38.19	0.287
I	BX	N	1	0.23	0.03	0.06	12.04	0.106
I	BX	N	2	0.00	0.00	0.00	35.40	0.281
I	BX	N	3	0.00	0.03	0.00	10.19	-0.062
I	BX	N	4	0.26	0.04	0.06	35.36	0.086
I	BX	N	5	0.00	0.04	0.00	9.51	0.185
I	BX	N	6	0.00	0.04	0.00	37.40	0.109
I	BX	N	7	0.09	0.04	0.03	16.57	0.264
I	BX	N	8	10.04	0.00	2.62	41.60	0.465
I	C	N	1	0.23	0.00	0.06	13.23	0.330
I	C	N	2	0.00	0.00	0.00	36.83	0.156
I	C	N	3	0.06	0.03	0.02	8.08	0.088
I	C	N	4	0.00	0.04	0.00	27.46	-0.053
I	C	N	5	0.00	0.02	0.00	4.95	-0.182
I	C	N	6	0.00	0.04	0.00	36.52	0.114
I	C	N	7	0.00	0.00	0.00	15.58	0.238
I	C	N	8	0.00	0.00	0.00	30.58	0.207
M	B	N	2	0.07	0.02	0.02	37.71	0.181
M	B	N	3	0.00	0.03	0.00	9.99	0.174
M	B	N	4	0.73	0.00	0.18	33.66	0.230
M	B	N	5	0.20	0.04	0.05	13.58	0.269
M	B	N	6	0.23	4.87	0.42	47.14	0.268
M	B	N	7	13.53	3.60	3.89	20.95	0.572
M	B	N	8	0.00	13.68	1.03	34.20	0.308
M	BS	N	1	0.30	0.00	0.07	10.08	0.095
M	BS	N	2	5.67	0.03	1.46	35.63	0.409
M	BS	N	3	5.56	3.48	1.59	13.20	0.083
M	BS	N	4	0.08	0.00	0.02	34.10	0.318
M	BS	N	5	0.01	0.00	0.00	10.67	-0.068
M	BS	N	6	0.20	0.04	0.05	25.92	0.156
M	BS	N	7	0.32	0.00	0.08	22.72	0.435
M	BS	N	8	0.32	0.00	0.08	38.44	0.315
M	BX	N	1	0.00	0.04	0.00	14.79	0.306
M	BX	N	2	0.07	0.00	0.02	39.12	0.421
M	BX	N	3	0.06	7.21	0.54	14.91	0.136
M	BX	N	4	0.23	4.98	0.43	36.67	0.315
M	BX	N	5	0.00	0.03	0.00	8.12	0.200
M	BX	N	6	0.00	0.00	0.00	41.38	0.348
M	BX	N	7	12.77	8.57	4.11	21.22	0.621
M	C	N	1	0.23	0.00	0.06	11.45	0.214
M	C	N	2	0.00	0.00	0.00	40.51	0.197
M	C	N	3	0.07	0.04	0.02	14.61	0.239
M	C	N	4	0.00	0.00	0.00	33.61	0.162
M	C	N	5	0.01	0.02	0.00	12.36	0.232
M	C	N	6	0.00	0.03	0.00	34.71	0.231
M	C	N	7	0.00	0.15	0.01	13.47	0.152
M	C	N	8	0.00	0.00	0.00	27.77	0.144
