treatment	plot	label	FRB	depth	month	season
CT	5	FRB5cmJun13	162.1	5	Jun	wet
LR	6	FRB5cmJun13	289	5	Jun	wet
CT	7	FRB5cmJun13	401.2	5	Jun	wet
LR	8	FRB5cmJun13	157.6	5	Jun	wet
LA	9	FRB5cmJun13	238.9	5	Jun	wet
LA	10	FRB5cmJun13	219.6	5	Jun	wet
CT	11	FRB5cmJun13	210.6	5	Jun	wet
LR	12	FRB5cmJun13	157.6	5	Jun	wet
LR	13	FRB5cmJun13	344.1	5	Jun	wet
LA	14	FRB5cmJun13	323.6	5	Jun	wet
CT	15	FRB5cmJun13	306.6	5	Jun	wet
CT	1	FRB5cmJul13	320.5	5	Jul	wet
LA	2	FRB5cmJul13	267.3	5	Jul	wet
LA	3	FRB5cmJul13	261.4	5	Jul	wet
LR	4	FRB5cmJul13	187	5	Jul	wet
CT	5	FRB5cmJul13	259.8	5	Jul	wet
LR	6	FRB5cmJul13	365.6	5	Jul	wet
CT	7	FRB5cmJul13	268.3	5	Jul	wet
LR	8	FRB5cmJul13	210	5	Jul	wet
LA	9	FRB5cmJul13	261.4	5	Jul	wet
LA	10	FRB5cmJul13	279.2	5	Jul	wet
CT	11	FRB5cmJul13	358	5	Jul	wet
LR	12	FRB5cmJul13	210	5	Jul	wet
LR	13	FRB5cmJul13	179.6	5	Jul	wet
LA	14	FRB5cmJul13	250.9	5	Jul	wet
CT	15	FRB5cmJul13	242.8	5	Jul	wet
CT	1	FRB5cmAug13	214.3	5	Aug	wet
LA	2	FRB5cmAug13	232.6	5	Aug	wet
LA	3	FRB5cmAug13	190.7	5	Aug	wet
LR	4	FRB5cmAug13	181.6	5	Aug	wet
CT	5	FRB5cmAug13	182	5	Aug	wet
LR	6	FRB5cmAug13	247.3	5	Aug	wet
CT	7	FRB5cmAug13	271.9	5	Aug	wet
LR	8	FRB5cmAug13	191.5	5	Aug	wet
LA	9	FRB5cmAug13	121.8	5	Aug	wet
LA	10	FRB5cmAug13	241.9	5	Aug	wet
CT	11	FRB5cmAug13	306.3	5	Aug	wet
LR	12	FRB5cmAug13	190.9	5	Aug	wet
LR	13	FRB5cmAug13	158.2	5	Aug	wet
LA	14	FRB5cmAug13	208	5	Aug	wet
CT	15	FRB5cmAug13	237.5	5	Aug	wet
CT	1	FRB5cmSep13	201.2	5	Sep	wet
LA	2	FRB5cmSep13	212.7	5	Sep	wet
LA	3	FRB5cmSep13	308.5	5	Sep	wet
LR	4	FRB5cmSep13	95.5	5	Sep	wet
CT	5	FRB5cmSep13	372.3	5	Sep	wet
LR	6	FRB5cmSep13	363.7	5	Sep	wet
CT	7	FRB5cmSep13	292.3	5	Sep	wet
LR	8	FRB5cmSep13	242.8	5	Sep	wet
LA	9	FRB5cmSep13	119.1	5	Sep	wet
LA	10	FRB5cmSep13	206.6	5	Sep	wet
CT	11	FRB5cmSep13	169	5	Sep	wet
LR	12	FRB5cmSep13	167.6	5	Sep	wet
LR	13	FRB5cmSep13	187	5	Sep	wet
LA	14	FRB5cmSep13	215.3	5	Sep	wet
CT	15	FRB5cmSep13	254.6	5	Sep	wet
CT	1	FRB5cmOct13	203.7	5	Oct	wet
LA	2	FRB5cmOct13	312.1	5	Oct	wet
LA	3	FRB5cmOct13	184.7	5	Oct	wet
LR	4	FRB5cmOct13	97.8	5	Oct	wet
CT	5	FRB5cmOct13	271.9	5	Oct	wet
LR	6	FRB5cmOct13	255.8	5	Oct	wet
CT	7	FRB5cmOct13	223.2	5	Oct	wet
LR	8	FRB5cmOct13	207.5	5	Oct	wet
LA	9	FRB5cmOct13	219.1	5	Oct	wet
LA	10	FRB5cmOct13	218.8	5	Oct	wet
CT	11	FRB5cmOct13	282.9	5	Oct	wet
LR	12	FRB5cmOct13	171.6	5	Oct	wet
LR	13	FRB5cmOct13	153.4	5	Oct	wet
LA	14	FRB5cmOct13	196	5	Oct	wet
CT	15	FRB5cmOct13	275.5	5	Oct	wet
CT	1	FRB5cmNov13	244.2	5	Nov	wet
LA	2	FRB5cmNov13	236.3	5	Nov	wet
LA	3	FRB5cmNov13	324.4	5	Nov	wet
LR	4	FRB5cmNov13	119.1	5	Nov	wet
CT	5	FRB5cmNov13	164.2	5	Nov	wet
LR	6	FRB5cmNov13	344.3	5	Nov	wet
CT	7	FRB5cmNov13	267.4	5	Nov	wet
LR	8	FRB5cmNov13	224.1	5	Nov	wet
LA	9	FRB5cmNov13	181	5	Nov	wet
LA	10	FRB5cmNov13	269.8	5	Nov	wet
CT	11	FRB5cmNov13	258.8	5	Nov	wet
LR	12	FRB5cmNov13	199.8	5	Nov	wet
LR	13	FRB5cmNov13	233.2	5	Nov	wet
LA	14	FRB5cmNov13	175.7	5	Nov	wet
CT	15	FRB5cmNov13	254.2	5	Nov	wet
CT	1	FRB5cmDec13	230.5	5	Dec	wet
LA	2	FRB5cmDec13	148.1	5	Dec	wet
LA	3	FRB5cmDec13	194.9	5	Dec	wet
LR	4	FRB5cmDec13	173	5	Dec	wet
CT	5	FRB5cmDec13	143.5	5	Dec	wet
LR	6	FRB5cmDec13	238.6	5	Dec	wet
CT	7	FRB5cmDec13	241.6	5	Dec	wet
LR	8	FRB5cmDec13	159.2	5	Dec	wet
LA	9	FRB5cmDec13	202.8	5	Dec	wet
LA	10	FRB5cmDec13	202.6	5	Dec	wet
CT	11	FRB5cmDec13	144.7	5	Dec	wet
LR	12	FRB5cmDec13	256.7	5	Dec	wet
LR	13	FRB5cmDec13	111.7	5	Dec	wet
LA	14	FRB5cmDec13	179.5	5	Dec	wet
CT	15	FRB5cmDec13	236.2	5	Dec	wet
CT	1	FRB5cmJan14	184.5	5	Jan	dry
LA	2	FRB5cmJan14	161	5	Jan	dry
LA	3	FRB5cmJan14	147.4	5	Jan	dry
LR	4	FRB5cmJan14	180.3	5	Jan	dry
CT	5	FRB5cmJan14	212.2	5	Jan	dry
LR	6	FRB5cmJan14	174.3	5	Jan	dry
CT	7	FRB5cmJan14	206.6	5	Jan	dry
LR	8	FRB5cmJan14	164.8	5	Jan	dry
LA	9	FRB5cmJan14	159.3	5	Jan	dry
LA	10	FRB5cmJan14	177.7	5	Jan	dry
CT	11	FRB5cmJan14	195	5	Jan	dry
LR	12	FRB5cmJan14	146.6	5	Jan	dry
LR	13	FRB5cmJan14	123.7	5	Jan	dry
LA	14	FRB5cmJan14	159.2	5	Jan	dry
CT	15	FRB5cmJan14	205	5	Jan	dry
CT	1	FRB5cmFeb14	166.9	5	Feb	dry
LA	2	FRB5cmFeb14	132.2	5	Feb	dry
LA	3	FRB5cmFeb14	150.9	5	Feb	dry
LR	4	FRB5cmFeb14	108.9	5	Feb	dry
CT	5	FRB5cmFeb14	285.8	5	Feb	dry
LR	6	FRB5cmFeb14	180	5	Feb	dry
CT	7	FRB5cmFeb14	143.7	5	Feb	dry
LR	8	FRB5cmFeb14	114.6	5	Feb	dry
LA	9	FRB5cmFeb14	129.2	5	Feb	dry
LA	10	FRB5cmFeb14	201.5	5	Feb	dry
CT	11	FRB5cmFeb14	114.6	5	Feb	dry
LR	12	FRB5cmFeb14	73.1	5	Feb	dry
LR	13	FRB5cmFeb14	161	5	Feb	dry
LA	14	FRB5cmFeb14	169.3	5	Feb	dry
CT	15	FRB5cmFeb14	140.2	5	Feb	dry

